Person ID,Age,Gender,Government Employed,Private Employed,Not Employed,Marital Status,Monthly Mobile Money Transaction,Frequency of Mobile Money Usage,Use Mobile Money
K-995,34,Female,Yes,Yes,No,Divorced,749.221236487726,4,No
K-795,57,Male,Yes,No,Yes,Widowed,52.189773729084,11,Yes
K-650,45,Female,No,Yes,Yes,Widowed,162.04668733661484,28,No
K-022,51,Female,Yes,No,No,Widowed,85.0915910609736,27,No
K-254,58,Male,No,Yes,Yes,Married,74.47025386333021,16,No
K-037,19,Male,No,Yes,Yes,Single,90.76529276701842,30,No
K-288,47,Male,No,Yes,No,Divorced,245.14790660648623,12,No
K-824,61,Female,Yes,No,No,Widowed,697.1465013321501,15,Yes
K-484,56,Female,No,Yes,No,Single,804.7063180078492,3,Yes
K-834,40,Female,No,Yes,No,Single,87.46363869356412,23,No
K-949,44,Male,No,No,Yes,Divorced,964.8657073399512,30,No
K-159,25,Male,Yes,Yes,No,Widowed,799.3199356298808,23,Yes
K-340,43,Female,No,Yes,No,Single,46.32450369071886,20,No
K-550,51,Male,Yes,No,No,Single,917.9804475721177,27,Yes
K-273,63,Male,No,No,No,Married,507.3693609680301,5,Yes
K-007,51,Male,No,Yes,Yes,Married,527.1662197743408,24,No
K-459,47,Female,Yes,Yes,Yes,Widowed,623.924621762559,7,Yes
K-278,45,Male,No,Yes,Yes,Widowed,371.8836378368956,8,Yes
K-337,29,Female,Yes,Yes,Yes,Married,152.73725587828739,30,Yes
K-902,32,Female,No,Yes,Yes,Divorced,647.7809461505218,1,No
K-301,62,Male,No,No,No,Divorced,89.48198699432558,30,No
K-931,54,Female,No,No,Yes,Single,305.7628077434215,7,No
K-898,33,Female,Yes,No,No,Single,574.1358708042205,14,Yes
K-176,20,Female,No,Yes,Yes,Divorced,660.4732401472589,5,Yes
K-498,24,Male,Yes,Yes,Yes,Single,140.3704089963123,19,Yes
K-198,47,Female,No,Yes,Yes,Married,229.5632399764679,27,No
K-306,26,Male,No,Yes,No,Married,882.3763688953456,26,No
K-887,54,Male,No,Yes,No,Married,272.3085465899591,25,No
K-376,33,Female,Yes,No,No,Widowed,819.2787309819845,27,Yes
K-316,50,Female,No,No,Yes,Married,844.5435634370733,28,No
K-796,47,Male,Yes,No,No,Divorced,398.8250137824041,11,Yes
K-858,50,Male,Yes,Yes,Yes,Divorced,67.33018412729764,4,Yes
K-965,22,Female,Yes,No,No,Married,536.1793355479947,20,Yes
K-091,44,Female,Yes,No,Yes,Married,926.7334370006517,20,No
K-202,46,Female,Yes,No,No,Married,121.12749266151214,8,Yes
K-969,55,Female,No,No,Yes,Divorced,396.9458261058166,9,Yes
K-194,20,Male,Yes,No,Yes,Widowed,980.6617942522237,21,Yes
K-783,25,Female,No,Yes,Yes,Divorced,204.73284742947857,1,No
K-762,45,Male,No,Yes,No,Widowed,653.1599302834773,7,Yes
K-701,54,Male,No,Yes,No,Divorced,921.3421074960102,19,Yes
K-002,38,Female,Yes,Yes,No,Married,982.7481497941036,9,No
K-874,35,Female,Yes,No,No,Widowed,388.5183834093002,14,No
K-433,35,Male,No,No,Yes,Married,202.05088962419535,18,Yes
K-556,48,Female,Yes,No,Yes,Divorced,850.344695348366,8,No
K-888,44,Female,No,No,No,Married,842.2344991184731,24,Yes
K-958,46,Female,No,No,Yes,Divorced,691.7618338138764,19,Yes
K-964,48,Female,Yes,Yes,No,Married,236.61852372715006,27,No
K-800,24,Female,No,No,No,Widowed,377.5008468751924,8,No
K-179,28,Male,Yes,No,No,Widowed,632.030692070173,4,Yes
K-892,29,Female,No,Yes,Yes,Single,243.12765113887906,20,Yes
K-955,34,Male,No,No,Yes,Married,140.26023739248038,29,No
K-351,55,Female,No,Yes,No,Widowed,751.119945771282,13,No
K-284,28,Female,No,Yes,No,Single,367.02839976184214,8,No
K-068,54,Male,No,No,Yes,Widowed,654.4048638189307,7,Yes
K-994,54,Male,No,No,No,Married,403.18805876236183,13,Yes
K-900,58,Male,No,Yes,No,Married,699.8590578243233,6,No
K-252,54,Female,No,Yes,Yes,Divorced,753.8671922623928,18,No
K-561,55,Male,Yes,No,Yes,Single,876.9353475325738,11,No
K-866,59,Male,No,No,No,Single,110.75256387909934,12,Yes
K-505,55,Male,Yes,Yes,Yes,Divorced,467.13637904697384,18,No
K-255,29,Male,No,Yes,Yes,Single,75.93036891319566,6,No
K-944,21,Male,Yes,Yes,Yes,Single,613.0805652262126,16,No
K-994,28,Male,No,No,Yes,Widowed,377.58182236299115,20,No
K-936,51,Male,Yes,Yes,Yes,Divorced,652.0119248210862,13,Yes
K-081,24,Male,No,Yes,Yes,Divorced,383.49624333910265,22,No
K-603,36,Male,Yes,Yes,Yes,Divorced,58.96209260035504,28,Yes
K-058,55,Female,No,No,Yes,Married,363.2370303996178,26,Yes
K-565,24,Female,No,No,Yes,Single,983.097213215897,6,Yes
K-177,24,Male,Yes,No,No,Widowed,115.97216551029084,30,No
K-815,18,Male,Yes,Yes,Yes,Single,42.615994045920054,18,Yes
K-062,48,Female,Yes,No,Yes,Single,938.8613310156513,17,No
K-444,61,Male,No,Yes,No,Married,418.35667343514285,27,No
K-547,24,Female,No,No,Yes,Divorced,809.9688469196755,12,Yes
K-268,47,Male,No,Yes,No,Widowed,926.5885998566914,21,No
K-593,28,Female,Yes,No,No,Married,328.480642278986,20,No
K-284,22,Male,No,No,No,Married,49.61690379292365,7,No
K-620,40,Male,Yes,No,Yes,Married,245.59281750528896,9,No
K-479,22,Male,Yes,Yes,No,Single,556.059839128009,20,No
K-944,48,Female,Yes,Yes,Yes,Divorced,24.751007429369974,2,Yes
K-885,28,Male,No,Yes,Yes,Single,790.5837031541969,10,Yes
K-398,30,Female,Yes,Yes,No,Married,625.5918448727905,13,No
K-670,63,Female,Yes,No,No,Single,625.6635674804214,16,Yes
K-673,62,Male,Yes,Yes,No,Single,406.487058680685,12,No
K-282,39,Male,No,Yes,Yes,Widowed,548.4822848049549,28,Yes
K-744,61,Female,No,Yes,Yes,Married,582.2997828355922,23,Yes
K-300,35,Male,Yes,Yes,Yes,Widowed,68.43301281642358,27,No
K-314,30,Female,Yes,Yes,Yes,Married,838.1817088130058,3,No
K-856,24,Male,Yes,Yes,Yes,Widowed,585.2083962826495,6,Yes
K-122,62,Female,No,No,No,Single,686.6545452750091,2,Yes
K-207,34,Male,Yes,No,Yes,Divorced,966.9851575261869,6,No
K-750,60,Male,Yes,Yes,Yes,Divorced,347.1985974455084,10,Yes
K-177,33,Female,No,Yes,No,Married,185.87521992702776,5,No
K-266,59,Female,No,Yes,Yes,Divorced,308.6845588932567,6,No
K-169,33,Male,No,Yes,No,Married,910.0018294582776,25,Yes
K-004,22,Female,Yes,No,No,Divorced,163.81747496713774,3,No
K-782,35,Male,Yes,No,Yes,Divorced,120.951162066166,28,Yes
K-656,52,Male,Yes,No,Yes,Single,407.37436415847327,26,No
K-173,35,Female,No,No,No,Widowed,362.6934073562472,30,Yes
K-755,45,Male,No,No,Yes,Married,866.559348281523,13,No
K-055,26,Female,No,No,No,Widowed,915.9933545608242,8,Yes
K-977,40,Female,No,No,Yes,Single,232.75157873039046,22,Yes
K-185,32,Female,No,Yes,Yes,Married,675.5500963839896,10,Yes
K-769,23,Male,No,No,No,Widowed,818.5584301595924,7,Yes
K-017,25,Female,Yes,No,Yes,Married,64.85361643884067,11,Yes
K-935,52,Female,Yes,No,No,Single,749.3654728260029,28,Yes
K-099,43,Female,Yes,No,Yes,Widowed,77.57070086118544,4,Yes
K-550,57,Male,Yes,No,Yes,Single,362.36827570382434,16,No
K-150,62,Male,No,No,No,Widowed,386.64517870709767,24,No
K-294,18,Female,No,Yes,Yes,Married,541.7690148924082,14,Yes
K-391,45,Female,No,Yes,Yes,Divorced,684.5223168758338,14,Yes
K-315,41,Male,Yes,Yes,Yes,Widowed,24.826497616829236,22,No
K-531,28,Female,Yes,No,Yes,Single,502.50505126012354,4,Yes
K-917,51,Male,Yes,Yes,No,Single,252.6648866634936,16,No
K-788,40,Female,No,Yes,No,Widowed,135.10385007729744,12,Yes
K-597,53,Male,Yes,Yes,Yes,Divorced,550.6284733407947,5,Yes
K-056,60,Female,No,No,No,Married,419.63052598660397,4,Yes
K-355,45,Male,Yes,No,No,Divorced,781.9506830338728,28,No
K-517,22,Male,No,No,No,Widowed,122.75516376324978,28,No
K-301,18,Male,No,Yes,Yes,Single,78.49295664571633,12,No
K-390,23,Female,Yes,Yes,Yes,Single,365.5154425767671,12,No
K-906,44,Male,Yes,No,Yes,Divorced,839.7937404642643,27,No
K-433,45,Female,No,Yes,No,Single,647.4253963553708,3,Yes
K-188,61,Female,No,No,Yes,Married,926.8799645378633,13,Yes
K-099,23,Male,Yes,No,Yes,Widowed,422.8594437800736,16,Yes
K-775,22,Female,Yes,No,Yes,Divorced,536.5404961171357,17,Yes
K-151,46,Male,No,Yes,No,Married,159.20799239616107,4,No
K-948,31,Female,Yes,No,Yes,Married,275.3087956793759,26,No
K-450,58,Male,Yes,No,No,Married,11.57862489825163,14,Yes
K-378,22,Male,Yes,No,No,Widowed,103.34522209367462,16,No
K-733,60,Male,Yes,Yes,Yes,Widowed,725.2750866348227,18,Yes
K-834,50,Female,Yes,Yes,Yes,Single,247.6273826683545,22,No
K-372,56,Male,Yes,Yes,Yes,Married,958.3196675037813,1,No
K-920,19,Male,No,Yes,No,Widowed,167.9015831037898,27,Yes
K-880,60,Male,No,No,No,Widowed,231.12463282448618,21,Yes
K-427,64,Male,No,No,Yes,Widowed,668.5310159677699,6,No
K-852,41,Male,Yes,Yes,No,Widowed,12.730428841926729,5,Yes
K-924,30,Female,Yes,Yes,No,Married,579.2404240013732,20,No
K-775,25,Male,No,Yes,Yes,Widowed,589.5903478713301,19,Yes
K-003,56,Male,Yes,Yes,Yes,Single,362.77930739172325,27,No
K-231,24,Male,Yes,Yes,Yes,Married,719.6270580025351,21,Yes
K-111,36,Male,Yes,No,No,Married,742.5467796279554,30,No
K-090,63,Female,Yes,Yes,Yes,Married,513.6848429949412,14,Yes
K-711,21,Male,No,No,No,Married,238.46620187303574,5,No
K-304,28,Male,Yes,No,Yes,Single,286.73464394502605,26,No
K-456,18,Male,Yes,No,Yes,Married,372.338046206469,20,No
K-083,35,Female,Yes,Yes,No,Widowed,123.77510648834966,13,No
K-306,28,Female,No,No,Yes,Divorced,317.54135977768783,30,Yes
K-374,53,Female,Yes,No,No,Married,232.52955510873798,27,No
K-922,28,Male,No,No,No,Divorced,966.0682184417243,8,Yes
K-313,39,Female,Yes,No,Yes,Widowed,255.79380134950324,9,Yes
K-726,55,Female,Yes,Yes,No,Single,741.4429824389927,24,Yes
K-552,19,Female,No,No,No,Divorced,89.66251213934738,9,No
K-694,25,Female,No,No,No,Single,726.3868634548695,22,No
K-516,36,Female,Yes,No,No,Widowed,317.81673464308244,16,No
K-404,25,Female,No,No,Yes,Single,123.44228797884965,3,No
K-075,23,Male,Yes,Yes,No,Widowed,961.9900544505955,16,No
K-898,50,Male,Yes,No,No,Widowed,791.3926343818762,15,Yes
K-321,55,Female,Yes,No,No,Married,607.7450748041399,4,Yes
K-617,21,Male,No,No,No,Widowed,424.59952062535154,12,No
K-471,60,Male,Yes,No,Yes,Single,59.78815251591518,6,No
K-205,35,Female,Yes,No,Yes,Married,445.98186765125286,29,Yes
K-369,49,Male,No,No,No,Widowed,50.932908593391126,9,Yes
K-132,61,Male,No,No,Yes,Married,156.8898375252963,8,Yes
K-960,47,Male,No,Yes,No,Widowed,132.31121808259024,24,Yes
K-798,35,Male,No,No,Yes,Divorced,300.09260810215767,17,No
K-130,60,Female,Yes,No,No,Single,591.9034139678621,9,No
K-661,61,Female,Yes,No,No,Widowed,390.5101949673924,4,Yes
K-782,38,Male,No,No,No,Single,521.3903816882041,9,No
K-903,62,Male,Yes,Yes,Yes,Married,270.44799249361876,1,No
K-550,24,Female,No,Yes,No,Married,785.7038032700348,21,Yes
